"Municipal.status","Geographic.area","Full_title","city"
"Lower Tier","Haliburton","Dysart et al, Municipality of","Dysart et al"
"Single Tier","Kenora","Ear Falls, Township of","Ear Falls"
"Single Tier","Nipissing","East Ferris, Township of","East Ferris"
"Lower Tier","Dufferin","East Garafraxa, Township of","East Garafraxa"
"Lower Tier","York","East Gwillimbury, Town of","East Gwillimbury"
"Lower Tier","Prescott and Russell","East Hawkesbury, Township of","East Hawkesbury"
"Lower Tier","Oxford","East Zorra-Tavistock, Township of","East Zorra-Tavistock"
"Lower Tier","Leeds and Grenville","Edwardsburgh/Cardinal, Township of","Edwardsburgh/Cardinal"
"Lower Tier","Leeds and Grenville","Elizabethtown-Kitley, Township of","Elizabethtown-Kitley"
"Single Tier","Algoma","Elliot Lake, City of","Elliot Lake"
"Single Tier","Rainy River","Emo, Township of","Emo"
"Single Tier","Timiskaming","Englehart, Town of","Englehart"
"Lower Tier","Lambton","Enniskillen, Township of","Enniskillen"
"Lower Tier","Wellington","Erin, Town of","Erin"
"Single Tier","Sudbury","Espanola, Town of","Espanola"
"Lower Tier","Simcoe","Essa, Township of","Essa"
"Lower Tier","Essex","Essex, Town of","Essex"
"Single Tier","Timiskaming","Evanturel, Township of","Evanturel"
"Lower Tier","Hastings","Faraday, Township of","Faraday"
"Single Tier","Cochrane","Fauquier-Strickland, Township of","Fauquier-Strickland"
"Lower Tier","Niagara","Fort Erie, Town of","Fort Erie"
"Single Tier","Rainy River","Fort Frances, Town of","Fort Frances"
"Single Tier","Sudbury","French River, Municipality of","French River"
"Lower Tier","Leeds and Grenville","Front of Yonge, Township of","Front of Yonge"
"Lower Tier","Frontenac","Frontenac Islands, Township of","Frontenac Islands"
"Single Tier","Leeds and Grenville","Gananoque, Town of","Gananoque"
"Single Tier","Timiskaming","Gauthier, Township of","Gauthier"
"Lower Tier","Muskoka","Georgian Bay, Township of","Georgian Bay"
"Lower Tier","Grey","Georgian Bluffs, Township of","Georgian Bluffs"
"Lower Tier","York","Georgina, Town of","Georgina"
"Single Tier","Thunder Bay","Gillies, Township of","Gillies"
"Lower Tier","Huron","Goderich, Town of","Goderich"
"Single Tier","Manitoulin","Gordon/Barrie Island, Municipality of","Gordon/Barrie Island"
"Single Tier","Manitoulin","Gore Bay, Town of","Gore Bay"
"Lower Tier","Dufferin","Grand Valley, Town of","Grand Valley"
"Lower Tier","Muskoka","Gravenhurst, Town of","Gravenhurst"
"Lower Tier","Renfrew","Greater Madawaska, Township of","Greater Madawaska"
"Lower Tier","Lennox and Addington","Greater Napanee, Town of","Greater Napanee"
"Single Tier","Thunder Bay","Greenstone, Municipality of","Greenstone"
"Lower Tier","Grey","Grey Highlands, Municipality of","Grey Highlands"
"Lower Tier","Niagara","Grimsby, Town of","Grimsby"
"Single Tier","Wellington","Guelph, City of","Guelph"
"Lower Tier","Wellington","Guelph/Eramosa, Township of","Guelph/Eramosa"
"Lower Tier","Halton","Halton Hills, Town of","Halton Hills"
"Lower Tier","Northumberland","Hamilton, Township of","Hamilton"
"Lower Tier","Grey","Hanover, Town of","Hanover"
"Single Tier","Timiskaming","Harley, Township of","Harley"
"Single Tier","Timiskaming","Harris, Township of","Harris"
"Lower Tier","Hastings","Hastings Highlands, Municipality of","Hastings Highlands"
"Lower Tier","Peterborough","Havelock-Belmont-Methuen, Township of","Havelock-Belmont-Methuen"
"Lower Tier","Prescott and Russell","Hawkesbury, Town of","Hawkesbury"
"Lower Tier","Renfrew","Head, Clara and Maria, Township of","Head"
"Single Tier","Cochrane","Hearst, Town of","Hearst"
"Lower Tier","Haliburton","Highlands East, Municipality of","Highlands East"
"Single Tier","Timiskaming","Hilliard, Township of","Hilliard"
"Single Tier","Algoma","Hilton, Township of","Hilton"
"Single Tier","Algoma","Hilton Beach, Village of","Hilton Beach"
"Single Tier","Algoma","Hornepayne, Township of","Hornepayne"
"Lower Tier","Renfrew","Horton, Township of","Horton"
"Lower Tier","Huron","Howick, Township of","Howick"
"Single Tier","Timiskaming","Hudson, Township of","Hudson"
"Lower Tier","Muskoka","Huntsville, Town of","Huntsville"
"Lower Tier","Huron","Huron East, Municipality of","Huron East"
"Single Tier","Algoma","Huron Shores, Municipality of","Huron Shores"
"Lower Tier","Bruce","Huron-Kinloss, Township of","Huron-Kinloss"
"Single Tier","Kenora","Ignace, Township of","Ignace"
"Lower Tier","Oxford","Ingersoll, Town of","Ingersoll"
"Lower Tier","Simcoe","Innisfil, Town of","Innisfil"
"Single Tier","Cochrane","Iroquois Falls, Town of","Iroquois Falls"
"Single Tier","Timiskaming","James, Township of","James"
"Single Tier","Algoma","Jocelyn, Township of","Jocelyn"
"Single Tier","Algoma","Johnson, Township of","Johnson"
"Single Tier","Parry Sound","Joly, Township of","Joly"
"Single Tier","Cochrane","Kapuskasing, Town of","Kapuskasing"
"Single Tier","Parry Sound","Kearney, Town of","Kearney"
"Single Tier","Kenora","Kenora, City of","Kenora"
"Single Tier","Timiskaming","Kerns, Township of","Kerns"
"Lower Tier","Renfrew","Killaloe, Hagarty and Richards, Township of","Killaloe"
"Single Tier","Sudbury","Killarney, Municipality of","Killarney"
"Lower Tier","Bruce","Kincardine, Municipality of","Kincardine"
"Lower Tier","York","King, Township of","King"
"Single Tier","Frontenac","Kingston, City of","Kingston"
"Lower Tier","Essex","Kingsville, Town of","Kingsville"
"Single Tier","Timiskaming","Kirkland Lake, Town of","Kirkland Lake"
"Lower Tier","Waterloo","Kitchener, City of","Kitchener"
"Single Tier","Rainy River","La Vallee, Township of","La Vallee"
"Lower Tier","Essex","LaSalle, Town of","LaSalle"
"Single Tier","Algoma","Laird, Township of","Laird"
"Lower Tier","Muskoka","Lake of Bays, Township of","Lake of Bays"
"Single Tier","Rainy River","Lake of the Woods, Township of","Lake of the Woods"
"Lower Tier","Essex","Lakeshore, Municipality of","Lakeshore"
"Lower Tier","Lambton","Lambton Shores, Municipality of","Lambton Shores"
"Lower Tier","Lanark","Lanark Highlands, Township of","Lanark Highlands"
"Single Tier","Timiskaming","Larder Lake, Township of","Larder Lake"
"Single Tier","Timiskaming","Latchford, Town of","Latchford"
"Lower Tier","Renfrew","Laurentian Hills, Town of","Laurentian Hills"
"Lower Tier","Renfrew","Laurentian Valley, Township of","Laurentian Valley"
"Lower Tier","Essex","Leamington, Municipality of","Leamington"
"Lower Tier","Leeds and Grenville","Leeds and the Thousand Islands, Township of","Leeds and the Thousand Islands"
"Lower Tier","Hastings","Limerick, Township of","Limerick"
"Lower Tier","Niagara","Lincoln, Town of","Lincoln"
"Single Tier","Middlesex","London, City of","London"
"Lower Tier","Lennox and Addington","Loyalist, Township of","Loyalist"
"Lower Tier","Middlesex","Lucan Biddulph, Township of","Lucan Biddulph"
"Single Tier","Algoma","Macdonald, Meredith and Aberdeen Additional, Township of","Macdonald"
"Single Tier","Parry Sound","Machar, Township of","Machar"
"Single Tier","Kenora","Machin, Township of","Machin"
"Lower Tier","Renfrew","Madawaska Valley, Township of","Madawaska Valley"
"Lower Tier","Hastings","Madoc, Township of","Madoc"
"Single Tier","Parry Sound","Magnetawan, Municipality of","Magnetawan"
"Lower Tier","Elgin","Malahide, Township of","Malahide"
"Single Tier","Thunder Bay","Manitouwadge, Township of","Manitouwadge"
"Lower Tier","Wellington","Mapleton, Township of","Mapleton"
"Single Tier","Thunder Bay","Marathon, Town of","Marathon"
"Lower Tier","York","Markham, City of","Markham"
"Single Tier","Sudbury","Markstay-Warren, Municipality of","Markstay-Warren"
"Lower Tier","Hastings","Marmora and Lake, Municipality of","Marmora and Lake"
"Single Tier","Timiskaming","Matachewan, Township of","Matachewan"
"Single Tier","Nipissing","Mattawa, Town of","Mattawa"
"Single Tier","Nipissing","Mattawan, Municipality of","Mattawan"
"Single Tier","Cochrane","Mattice-Val CÃ´tÃ©, Township of","Mattice-Val CÃ´tÃ©"
"Single Tier","Parry Sound","McDougall, Township of","McDougall"
"Single Tier","Timiskaming","McGarry, Township of","McGarry"
"Single Tier","Parry Sound","McKellar, Township of","McKellar"
"Single Tier","Parry Sound","McMurrich/Monteith, Township of","McMurrich/Monteith"
"Lower Tier","Renfrew","McNab/Braeside, Township of","McNab/Braeside"
"Lower Tier","Grey","Meaford, Municipality of","Meaford"
"Lower Tier","Dufferin","Melancthon, Township of","Melancthon"
"Lower Tier","Leeds and Grenville","Merrickville-Wolford, Village of","Merrickville-Wolford"
"Lower Tier","Middlesex","Middlesex Centre, Municipality of","Middlesex Centre"
"Lower Tier","Simcoe","Midland, Town of","Midland"
"Lower Tier","Halton","Milton, Town of","Milton"
"Lower Tier","Haliburton","Minden Hills, Township of","Minden Hills"
"Lower Tier","Wellington","Minto, Town of","Minto"
"Lower Tier","Peel","Mississauga, City of","Mississauga"
"Lower Tier","Lanark","Mississippi Mills, Municipality of","Mississippi Mills"
"Lower Tier","Dufferin","Mono, Town of","Mono"
"Lower Tier","Lanark","Montague, Township of","Montague"
"Single Tier","Cochrane","Moonbeam, Township of","Moonbeam"
"Single Tier","Cochrane","Moosonee, Town of","Moosonee"
"Single Tier","Rainy River","Morley, Township of","Morley"
"Lower Tier","Huron","Morris-Turnberry, Municipality of","Morris-Turnberry"
"Lower Tier","Dufferin","Mulmur, Township of","Mulmur"
"Lower Tier","Muskoka","Muskoka Lakes, Township of","Muskoka Lakes"
"Single Tier","Sudbury","Nairn and Hyman, Township of","Nairn and Hyman"
"Single Tier","Thunder Bay","Neebing, Municipality of","Neebing"
"Lower Tier","Simcoe","New Tecumseth, Town of","New Tecumseth"
"Lower Tier","Middlesex","Newbury, Village of","Newbury"
"Lower Tier","York","Newmarket, Town of","Newmarket"
"Lower Tier","Niagara","Niagara Falls, City of","Niagara Falls"
"Lower Tier","Niagara","Niagara-on-the-Lake, Town of","Niagara-on-the-Lake"
"Single Tier","Thunder Bay","Nipigon, Township of","Nipigon"
"Single Tier","Parry Sound","Nipissing, Township of","Nipissing"
"Lower Tier","Renfrew","North Algona Wilberforce, Township of","North Algona Wilberforce"
"Single Tier","Nipissing","North Bay, City of","North Bay"
"Lower Tier","Waterloo","North Dumfries, Township of","North Dumfries"
"Lower Tier","Stormont, Dundas and Glengarry","North Dundas, Township of","North Dundas"
"Lower Tier","Frontenac","North Frontenac, Township of","North Frontenac"
"Lower Tier","Stormont, Dundas and Glengarry","North Glengarry, Township of","North Glengarry"
"Lower Tier","Leeds and Grenville","North Grenville, Municipality of","North Grenville"
"Lower Tier","Huron","North Huron, Township of","North Huron"
"Lower Tier","Peterborough","North Kawartha, Township of","North Kawartha"
"Lower Tier","Middlesex","North Middlesex, Municipality of","North Middlesex"
"Lower Tier","Perth","North Perth, Municipality of","North Perth"
"Lower Tier","Stormont, Dundas and Glengarry","North Stormont, Township of","North Stormont"
"Single Tier","Manitoulin","Northeastern Manitoulin and The Islands, Town of","Northeastern Manitoulin and The Islands"
"Lower Tier","Bruce","Northern Bruce Peninsula, Municipality of","Northern Bruce Peninsula"
"Lower Tier","Oxford","Norwich, Township of","Norwich"
"Single Tier","Thunder Bay","O’Connor, Township of","O’Connor"
"Lower Tier","Halton","Oakville, Town of","Oakville"
"Lower Tier","Lambton","Oil Springs, Village of","Oil Springs"
"Single Tier","Thunder Bay","Oliver Paipoonge, Municipality of","Oliver Paipoonge"
"Single Tier","Cochrane","Opasatika, Township of","Opasatika"
"Lower Tier","Dufferin","Orangeville, Town of","Orangeville"
"Single Tier","Simcoe","Orillia, City of","Orillia"
"Lower Tier","Simcoe","Oro-Medonte, Township of","Oro-Medonte"
"Lower Tier","Durham","Oshawa, City of","Oshawa"
"Lower Tier","Peterborough","Otonabee-South Monaghan, Township of","Otonabee-South Monaghan"
"Lower Tier","Grey","Owen Sound, City of","Owen Sound"
"Single Tier","Nipissing","Papineau-Cameron, Township of","Papineau-Cameron"
"Single Tier","Parry Sound","Parry Sound, Town of","Parry Sound"
"Single Tier","Essex","Pelee, Township of","Pelee"
"Lower Tier","Niagara","Pelham, Town of","Pelham"
"Single Tier","Renfrew","Pembroke, City of","Pembroke"
"Lower Tier","Simcoe","Penetanguishene, Town of","Penetanguishene"
"Single Tier","Parry Sound","Perry, Township of","Perry"
"Lower Tier","Lanark","Perth, Town of","Perth"
"Lower Tier","Perth","Perth East, Township of","Perth East"
"Lower Tier","Perth","Perth South, Township of","Perth South"
"Lower Tier","Renfrew","Petawawa, Town of","Petawawa"
"Single Tier","Peterborough","Peterborough, City of","Peterborough"
"Lower Tier","Lambton","Petrolia, Town of","Petrolia"
"Lower Tier","Durham","Pickering, City of","Pickering"
"Single Tier","Kenora","Pickle Lake, Township of","Pickle Lake"
"Single Tier","Algoma","Plummer Additional, Township of","Plummer Additional"
"Lower Tier","Lambton","Plympton-Wyoming, Town of","Plympton-Wyoming"
"Lower Tier","Lambton","Point Edward, Village of","Point Edward"
"Lower Tier","Niagara","Port Colborne, City of","Port Colborne"
"Lower Tier","Northumberland","Port Hope, Municipality of","Port Hope"
"Single Tier","Parry Sound","Powassan, Municipality of","Powassan"
"Single Tier","Leeds and Grenville","Prescott, Town of","Prescott"
"Single Tier","Algoma","Prince, Township of","Prince"
"Lower Tier","Wellington","Puslinch, Township of","Puslinch"
"Single Tier","Hastings","Quinte West, City of","Quinte West"
"Single Tier","Rainy River","Rainy River, Town of","Rainy River"
"Lower Tier","Simcoe","Ramara, Township of","Ramara"
"Single Tier","Kenora","Red Lake, Municipality of","Red Lake"
"Single Tier","Thunder Bay","Red Rock, Township of","Red Rock"
"Lower Tier","Renfrew","Renfrew, Town of","Renfrew"
"Lower Tier","York","Richmond Hill, City of","Richmond Hill"
"Lower Tier","Leeds and Grenville","Rideau Lakes, Township of","Rideau Lakes"
"Lower Tier","Prescott and Russell","Russell, Township of","Russell"
"Single Tier","Parry Sound","Ryerson, Township of","Ryerson"
"Single Tier","Sudbury","Sables-Spanish Rivers, Township of","Sables-Spanish Rivers"
"Lower Tier","Lambton","Sarnia, City of","Sarnia"
"Lower Tier","Bruce","Saugeen Shores, Town of","Saugeen Shores"
"Single Tier","Algoma","Sault Ste. Marie, City of","Sault Ste. Marie"
"Single Tier","Thunder Bay","Schreiber, Township of","Schreiber"
"Lower Tier","Durham","Scugog, Township of","Scugog"
"Single Tier","Parry Sound","Seguin, Township of","Seguin"
"Lower Tier","Peterborough","Selwyn, Township of","Selwyn"
"Lower Tier","Simcoe","Severn, Township of","Severn"
"Lower Tier","Dufferin","Shelburne, Town of","Shelburne"
"Single Tier","Thunder Bay","Shuniah, Municipality of","Shuniah"
"Single Tier","Kenora","Sioux Lookout, Municipality of","Sioux Lookout"
